student_id,first_name,last_name,email,gender,major,university
10613065,Inga,Zeeba,inga.zeeba@gmail.com,Female,genetics and genomics,University of Newcastle
72356025,Kaja,Mandler,kaja.mandler@gmail.com,Female,finance,Western Sydney University
15140208,Doro,Georas,doro.georas@gmail.com,Female,behavioural studies,Australian National University
63401082,Merry,Bennie,merry.bennie@gmail.com,Female,finance and economics,Australian National University
91040330,Luci,Bord,luci.bord@gmail.com,Male,music,University of Wollongong
12524348,Kerrin,Jess,kerrin.jess@gmail.com,Male,business information systems,University of Technology Sydney
97963862,Ira,Lane,ira.lane@gmail.com,Male,economics,Charles Sturt University
62311748,Carmela,Camden,carmela.camden@gmail.com,Male,music,University of Sydney
47266186,Harrietta,Dorothy,harrietta.dorothy@gmail.com,Male,business analytics and statistics,Macquarie University
84408804,Tierney,Harl,tierney.harl@gmail.com,Male,biochemistry,University of Wollongong
78231838,Margette,Magnolia,margette.magnolia@gmail.com,Male,economics,University of Wollongong
10938554,Clary,Heidt,clary.heidt@gmail.com,Male,german studies,University of Technology Sydney
83513586,Cathie,Marsden,cathie.marsden@gmail.com,Male,biochemistry,Charles Sturt University
80403968,Gusella,Hutchison,gusella.hutchison@gmail.com,Female,politics,University of Technology Sydney
31732187,Adelle,Ivens,adelle.ivens@gmail.com,Male,philosophy,University of Wollongong
42463578,Gerianna,Smitt,gerianna.smitt@gmail.com,Male,gender studies,La Trobe University
49697142,Jerry,Simmonds,jerry.simmonds@gmail.com,Female,behavioural studies,Western Sydney University
30373466,Steffane,Lenny,steffane.lenny@gmail.com,Male,philosophy,University of Technology Sydney
59420324,Alexine,Jerold,alexine.jerold@gmail.com,Female,finance and economics,University of Sydney
99286980,Lynde,Gregrory,lynde.gregrory@gmail.com,Female,software development,	University of New England
24730422,Laurene,Flyn,laurene.flyn@gmail.com,Female,software development,University of Newcastle
9656233,Tierney,Lesley,tierney.lesley@gmail.com,Male,biochemistry,University of Sydney
8616405,Rivalee,Durante,rivalee.durante@gmail.com,Female,marketing,	University of New England
71794927,Morganica,Bach,morganica.bach@gmail.com,Male,computer networks and security,University of Technology Sydney
90046065,Anestassia,Capello,anestassia.capello@gmail.com,Male,international studies,Western Sydney University
77865173,Giustina,Sheedy,giustina.sheedy@gmail.com,Male,computer networks and security,Australian National University
29400173,Sibella,Ogren,sibella.ogren@gmail.com,Female,international studies,University of Newcastle
6177508,Shandie,Campball,shandie.campball@gmail.com,Female,biochemistry,Western Sydney University
96967611,Eadie,Goldina,eadie.goldina@gmail.com,Female,philosophy,University of Sydney
63078032,Silvana,Azeria,silvana.azeria@gmail.com,Male,bioethics,University of Newcastle
19727586,Blake,Gaulin,blake.gaulin@gmail.com,Female,french studies,Charles Sturt University
27691795,Jaclyn,Iiette,jaclyn.iiette@gmail.com,Female,philosophy,Australian National University
3154039,Dominga,Cristi,dominga.cristi@gmail.com,Female,behavioural studies,University of Newcastle
50316305,Meriel,Carmena,meriel.carmena@gmail.com,Female,web development,Macquarie University
85292273,Jorry,Weitman,jorry.weitman@gmail.com,Female,data science,Australian National University
794920,Hermione,Dorine,hermione.dorine@gmail.com,Male,business analytics and statistics,La Trobe University
90184989,Jere,Jethro,jere.jethro@gmail.com,Female,marketing,Western Sydney University
48096795,Latisha,Rogerio,latisha.rogerio@gmail.com,Male,ecometrics,Western Sydney University
36928900,Christal,Reinke,christal.reinke@gmail.com,Male,politics,Macquarie University
3910319,Ira,Himelman,ira.himelman@gmail.com,Male,astrophsics,	University of New England
30490687,Binny,Maples,binny.maples@gmail.com,Male,business information systems,University of Wollongong
28336765,Sarette,Jacobah,sarette.jacobah@gmail.com,Female,computer networks and security,University of Technology Sydney
94846981,Ida,Rocray,ida.rocray@gmail.com,Female,french studies,University of Wollongong
75716773,Briney,Pulsifer,briney.pulsifer@gmail.com,Male,physics,Charles Sturt University
71552983,Jaclyn,Cristi,jaclyn.cristi@gmail.com,Male,gender studies,University of Technology Sydney
6842662,Taffy,McAdams,taffy.mcadams@gmail.com,Female,international studies,Western Sydney University
23748469,Codie,Wesle,codie.wesle@gmail.com,Male,marketing,Macquarie University
2560775,Rani,Abram,rani.abram@gmail.com,Female,game design,University of Wollongong
83851848,Dotty,Syd,dotty.syd@gmail.com,Male,physics,University of Wollongong
3102853,Ira,Wildermuth,ira.wildermuth@gmail.com,Female,finance and economics,Australian National University
37458636,Ann-Marie,Angelis,ann-marie.angelis@gmail.com,Male,business information systems,University of Newcastle
10809410,Brandise,Terrence,brandise.terrence@gmail.com,Male,data science,La Trobe University
49569409,Courtnay,Cassius,courtnay.cassius@gmail.com,Male,genetics and genomics,Charles Sturt University
1708951,Tamqrah,Couture,tamqrah.couture@gmail.com,Female,computer networks and security,University of Newcastle
80094836,Hettie,Kolnick,hettie.kolnick@gmail.com,Male,computer science,Western Sydney University
20203587,Carly,Noam,carly.noam@gmail.com,Female,mathematics,Charles Sturt University
6400048,Anallese,Cookie,anallese.cookie@gmail.com,Female,genetics and genomics,Macquarie University
89332485,Lila,Anton,lila.anton@gmail.com,Female,behavioural studies,University of Technology Sydney
91324423,Suzette,Nicoline,suzette.nicoline@gmail.com,Male,game design,University of Wollongong
11679798,Mallory,Isacco,mallory.isacco@gmail.com,Female,web development,University of Wollongong
28933012,Elyssa,Lenny,elyssa.lenny@gmail.com,Female,business law,Australian National University
82907326,Gale,Nikaniki,gale.nikaniki@gmail.com,Female,bioethics,University of Newcastle
64549944,Tori,Chesna,tori.chesna@gmail.com,Male,ecometrics,University of Sydney
35869443,Carree,Riva,carree.riva@gmail.com,Female,finance and economics,Charles Sturt University
7639998,Emelina,Annice,emelina.annice@gmail.com,Male,finance,Australian National University
19967145,Beth,Lea,beth.lea@gmail.com,Female,history,Western Sydney University
5591900,Nita,Riva,nita.riva@gmail.com,Male,astrophsics,University of Newcastle
41329028,Zondra,Artie,zondra.artie@gmail.com,Male,marketing,University of Newcastle
97348090,Darlleen,Hubert,darlleen.hubert@gmail.com,Male,business law,University of Technology Sydney
86603778,Olivette,Shama,olivette.shama@gmail.com,Female,ecometrics,University of Wollongong
71948172,Tarra,Heidt,tarra.heidt@gmail.com,Male,data science,Western Sydney University
49766587,Roberta,Johanna,roberta.johanna@gmail.com,Male,mathematics,La Trobe University
85659556,Ronna,Simmonds,ronna.simmonds@gmail.com,Female,bioethics,University of Sydney
15752561,Carmela,Kristi,carmela.kristi@gmail.com,Female,accounting,University of Sydney
87455623,Willetta,Judye,willetta.judye@gmail.com,Male,genetics and genomics,Charles Sturt University
66619833,Brietta,Fontana,brietta.fontana@gmail.com,Female,music,Charles Sturt University
51347562,Jessamyn,Greenwald,jessamyn.greenwald@gmail.com,Male,marketing,University of Wollongong
7885591,Lyssa,Secrest,lyssa.secrest@gmail.com,Female,french studies,University of Newcastle
45646850,Elvira,Stevy,elvira.stevy@gmail.com,Male,business law,	University of New England
59113322,Olwen,Hartnett,olwen.hartnett@gmail.com,Male,business law,Western Sydney University
5568793,Lusa,Belanger,lusa.belanger@gmail.com,Female,astrophsics,Macquarie University
27745314,Myrtice,Pascia,myrtice.pascia@gmail.com,Female,accounting,University of Technology Sydney
28779249,Basia,Chinua,basia.chinua@gmail.com,Female,philosophy,University of Newcastle
98222029,Anthia,Malvino,anthia.malvino@gmail.com,Male,software development,La Trobe University
73805052,Elora,Rosemary,elora.rosemary@gmail.com,Female,computer science,Charles Sturt University
71338878,Arabel,Moina,arabel.moina@gmail.com,Male,marketing,University of Technology Sydney
53696514,Sophia,Scammon,sophia.scammon@gmail.com,Male,astrophsics,University of Sydney
57816320,Nataline,Nikaniki,nataline.nikaniki@gmail.com,Female,politics,Western Sydney University
47342088,Linzy,Tippets,linzy.tippets@gmail.com,Female,genetics and genomics,Australian National University
20337652,Tressa,Rosalba,tressa.rosalba@gmail.com,Male,behavioural studies,University of Sydney
91848941,Jacquetta,Sothena,jacquetta.sothena@gmail.com,Male,astrophsics,	University of New England
66989715,Mamie,Blase,mamie.blase@gmail.com,Female,economics,La Trobe University
36788310,Angela,Means,angela.means@gmail.com,Male,business law,University of Wollongong
53265741,Dagmar,Tjon,dagmar.tjon@gmail.com,Female,accounting,University of Wollongong
87081627,Lelah,Hollingsworth,lelah.hollingsworth@gmail.com,Male,ecometrics,University of Wollongong
71592940,Silvana,Camden,silvana.camden@gmail.com,Female,international studies,Australian National University
30163726,Ardys,Codding,ardys.codding@gmail.com,Female,software development,University of Technology Sydney
99204499,Margalo,Manolo,margalo.manolo@gmail.com,Male,business law,University of Sydney
70611879,Carol-Jean,Tryck,carol-jean.tryck@gmail.com,Female,physics,Western Sydney University
75098242,Hallie,Kosey,hallie.kosey@gmail.com,Male,mathematics,University of Wollongong
40600832,Harmonia,Lilybelle,harmonia.lilybelle@gmail.com,Female,computer science,Macquarie University
42520875,Marline,Cherianne,marline.cherianne@gmail.com,Female,web development,University of Sydney
86429093,Ada,Morehouse,ada.morehouse@gmail.com,Female,philosophy,La Trobe University
62948263,Fawne,Nunci,fawne.nunci@gmail.com,Female,biochemistry,	University of New England
20033050,Sue,Verger,sue.verger@gmail.com,Female,game design,Charles Sturt University
1736755,Rhea,Muriel,rhea.muriel@gmail.com,Female,finance,University of Sydney
20285777,Caryl,Lay,caryl.lay@gmail.com,Female,french studies,La Trobe University
51240750,Nita,Alarise,nita.alarise@gmail.com,Male,economics,University of Wollongong
13441806,Fayre,Diann,fayre.diann@gmail.com,Male,ecometrics,La Trobe University
38643545,Tamqrah,Telfer,tamqrah.telfer@gmail.com,Female,data science,Charles Sturt University
19751263,Gratia,Telfer,gratia.telfer@gmail.com,Male,mathematics,La Trobe University
85725394,Bettine,Marden,bettine.marden@gmail.com,Male,history,University of Technology Sydney
48562013,Belva,Letsou,belva.letsou@gmail.com,Male,bioethics,University of Newcastle
56106931,Karena,Maisey,karena.maisey@gmail.com,Male,data science,Macquarie University
24638356,Dulcinea,Denis,dulcinea.denis@gmail.com,Male,philosophy,	University of New England
48232038,Kimmy,Sabella,kimmy.sabella@gmail.com,Female,accounting,University of Newcastle
90535785,Dawn,Joeann,dawn.joeann@gmail.com,Male,german studies,La Trobe University
69240414,Valera,Roscoe,valera.roscoe@gmail.com,Male,business information systems,Western Sydney University
31874214,Winny,Whiffen,winny.whiffen@gmail.com,Female,music,Western Sydney University
32142836,Penelopa,Daveta,penelopa.daveta@gmail.com,Female,economics,University of Sydney
