Student ID,First Name,Last Name,Email,Gender,Major,University
10613065,Inga,Zeeba,inga.zeeba@gmail.com,Female,Architectural engineering,University of Vermont
72356025,Kaja,Mandler,kaja.mandler@gmail.com,Female,Teacher education: multiple levels,Union University
15140208,Doro,Georas,doro.georas@gmail.com,Female,Miscellaneous biology,University of Alabama
63401082,Merry,Bennie,merry.bennie@gmail.com,Female,Liberal arts,University of Pennsylvania
91040330,Luci,Bord,luci.bord@gmail.com,Male,Business economics,College of William & Mary
12524348,Kerrin,Jess,kerrin.jess@gmail.com,Male,Botany,University of Maine
97963862,Ira,Lane,ira.lane@gmail.com,Male,Molecular biology,Hofstra University
62311748,Carmela,Camden,carmela.camden@gmail.com,Male,English language and literature,Dallas Baptist University
47266186,Harrietta,Dorothy,harrietta.dorothy@gmail.com,Male,Environmental science,"University of Maryland, College Park"
84408804,Tierney,Harl,tierney.harl@gmail.com,Male,Health and medical preparatory programs,"University of Massachusetts, Lowell"
78231838,Margette,Magnolia,margette.magnolia@gmail.com,Male,Social work,"Rutgers University, New Brunswick"
10938554,Clary,Heidt,clary.heidt@gmail.com,Male,Information sciences,Michigan State University
83513586,Cathie,Marsden,cathie.marsden@gmail.com,Male,Nursing,St. John Fisher College
80403968,Gusella,Hutchison,gusella.hutchison@gmail.com,Female,Biology,Illinois Institute of Technology
31732187,Adelle,Ivens,adelle.ivens@gmail.com,Male,Transportation sciences and technologies,Florida Institute of Technology
42463578,Gerianna,Smitt,gerianna.smitt@gmail.com,Male,General medical and health services,"University of Nebraska, Lincoln"
49697142,Jerry,Simmonds,jerry.simmonds@gmail.com,Female,General medical and health services,"University of Illinois, Chicago"
30373466,Steffane,Lenny,steffane.lenny@gmail.com,Male,Visual and performing arts,"University of Texas, Austin"
59420324,Alexine,Jerold,alexine.jerold@gmail.com,Female,N/a (less than bachelor's degree),Worcester Polytechnic Institute
99286980,Lynde,Gregrory,lynde.gregrory@gmail.com,Female,Miscellaneous engineering technologies,"University of California, Santa Cruz"
24730422,Laurene,Flyn,laurene.flyn@gmail.com,Female,Actuarial science,University of Kansas
9656233,Tierney,Lesley,tierney.lesley@gmail.com,Male,Transportation sciences and technologies,"University of Illinois, Urbana-Champaign"
8616405,Rivalee,Durante,rivalee.durante@gmail.com,Female,Psychology,Brandeis University
71794927,Morganica,Bach,morganica.bach@gmail.com,Male,Health and medical preparatory programs,"University of California, Berkeley"
90046065,Anestassia,Capello,anestassia.capello@gmail.com,Male,Commercial art and graphic design,University of South Carolina
77865173,Giustina,Sheedy,giustina.sheedy@gmail.com,Male,Chemical engineering,Duke University
29400173,Sibella,Ogren,sibella.ogren@gmail.com,Female,Marketing and marketing research,New Mexico State University
6177508,Shandie,Campball,shandie.campball@gmail.com,Female,Natural resources management,"California State University, Fullerton"
96967611,Eadie,Goldina,eadie.goldina@gmail.com,Female,Physical fitness parks recreation and leisure,The Catholic University of America
63078032,Silvana,Azeria,silvana.azeria@gmail.com,Male,Public administration,Edgewood College
19727586,Blake,Gaulin,blake.gaulin@gmail.com,Female,Soil science,Texas Christian University
27691795,Jaclyn,Iiette,jaclyn.iiette@gmail.com,Female,Medical assisting services,Biola University
3154039,Dominga,Cristi,dominga.cristi@gmail.com,Female,Area ethnic and civilization studies,Texas Tech University
50316305,Meriel,Carmena,meriel.carmena@gmail.com,Female,Pharmacology,University of Arizona
85292273,Jorry,Weitman,jorry.weitman@gmail.com,Female,Linguistics and comparative language and literature,University of Kentucky
794920,Hermione,Dorine,hermione.dorine@gmail.com,Male,Computer programming and data processing,University of Wyoming
90184989,Jere,Jethro,jere.jethro@gmail.com,Female,Business economics,University of Arkansas
48096795,Latisha,Rogerio,latisha.rogerio@gmail.com,Male,Public policy,"Miami University, Oxford"
36928900,Christal,Reinke,christal.reinke@gmail.com,Male,Clinical psychology,South Dakota State University
3910319,Ira,Himelman,ira.himelman@gmail.com,Male,Construction services,Rochester Institute of Technology
30490687,Binny,Maples,binny.maples@gmail.com,Male,Communications,University of Rhode Island
28336765,Sarette,Jacobah,sarette.jacobah@gmail.com,Female,Social work,Edgewood College
94846981,Ida,Rocray,ida.rocray@gmail.com,Female,Metallurgical engineering,Yale University
75716773,Briney,Pulsifer,briney.pulsifer@gmail.com,Male,Philosophy and religious studies,University of New Hampshire
71552983,Jaclyn,Cristi,jaclyn.cristi@gmail.com,Male,Computer administration management and security,Syracuse University
6842662,Taffy,McAdams,taffy.mcadams@gmail.com,Female,Public policy,"University of Missouri, St. Louis"
23748469,Codie,Wesle,codie.wesle@gmail.com,Male,Science and computer teacher education,New York University
2560775,Rani,Abram,rani.abram@gmail.com,Female,Physical fitness parks recreation and leisure,Northwestern University
83851848,Dotty,Syd,dotty.syd@gmail.com,Male,Geosciences,Clemson University
3102853,Ira,Wildermuth,ira.wildermuth@gmail.com,Female,Economics,University of Alabama
37458636,Ann-Marie,Angelis,ann-marie.angelis@gmail.com,Male,History,Lehigh University
10809410,Brandise,Terrence,brandise.terrence@gmail.com,Male,Pharmacy pharmaceutical sciences and administration,Virginia Tech
49569409,Courtnay,Cassius,courtnay.cassius@gmail.com,Male,Treatment therapy professions,University of North Dakota
